label,pattern
PERSON,Leontine de Serizy
PERSON,Comtesse de Sérisy
PERSON,Duke of Navarreins
PERSON,Monsieur Rastignac
PERSON,Comte de Rastignac
PERSON,Monsieur du Tillet
PERSON,General Montriveau
PERSON,Monsieur de Marsay
PERSON,Hippolyte Schinner
PERSON,Dr Horace Bianchon
PERSON,Madame Lady Dudley
PERSON,Mlle Lady Arabella
PERSON,Mme. Lady Arabella
PERSON,Mlle. Leon de Lora
PERSON,Lucien de Rubempré
PERSON,Lucien de Rubempre
PERSON,Mme Florine Nathan
PERSON,Madame du Ronceret
PERSON,Mme Little Aurelie
PERSON,Demoiselle Chevrel
PERSON,Mme Camille Maupin
PERSON,General Montcornet
PERSON,Marshal Montcornet
PERSON,Comtesse de Soulas
PERSON,August de Nucingen
PERSON,Esther Van Gobseck
PERSON,Madame d’Aiglemont
PERSON,Madame de Nucingen
PERSON,Madame de Chatelet
PERSON,Mlle. Negrepelesse
PERSON,Mlle. Nègrepelisse
PERSON,Mlle. Ronquerolles
PERSON,Madame des Touches
PERSON,Mlle. de Bourgogne
PERSON,Mlle. de Beauséant
PERSON,Mlle. de Beauseant
PERSON,Mlle de Troisville
PERSON,Mme. de Troisville
PERSON,Mlle de Montcornet
PERSON,Mme. de Montcornet
PERSON,Baron de Nucingen
PERSON,Frederic Nucingen
PERSON,Monsieur Claparon
PERSON,Monsieur Desplein
PERSON,Duc de Lenoncourt
PERSON,Duc de Navarreins
PERSON,Diane de Cadignan
PERSON,Princess Cadignan
PERSON,Monsieur Lousteau
PERSON,Armand Montirveau
PERSON,Monsieur Schinner
PERSON,Mlle. Lady Dudley
PERSON,Mme Lady Arabella
PERSON,Mlle Leon de Lora
PERSON,Mme. Leon de Lora
PERSON,Madame M. de Lora
PERSON,Josephine Schiltz
PERSON,La petite Aurelie
PERSON,M de Ronquerolles
PERSON,Marquise d'Espard
PERSON,de La Roche-Hugon
PERSON,Monsieur Stidmann
PERSON,Mme. de Beauseant
PERSON,Madame Montcornet
PERSON,Mme de Montcornet
PERSON,Charles the Great
PERSON,Moina d'Aiglemont
PERSON,Comtesse du Bruel
PERSON,Comte de Chaulieu
PERSON,Empress Josephine
PERSON,Julie d'Aiglemont
PERSON,Mlle de Grandlieu
PERSON,Mlle. de Nucingen
PERSON,Mlle. du Châtelet
PERSON,Mlle. de Chatelet
PERSON,Mlle. de Bargeton
PERSON,Mlle Negrepelesse
PERSON,Mme. Negrepelesse
PERSON,Mlle Nègrepelisse
PERSON,Mme. Nègrepelisse
PERSON,Mlle. du Chatelet
PERSON,Mlle Ronquerolles
PERSON,Mme. Ronquerolles
PERSON,Mlle. du Ronceret
PERSON,Mlle. des Touches
PERSON,Mlle de Bourgogne
PERSON,Mme. de Bourgogne
PERSON,Mlle de Beauséant
PERSON,Mme. de Beauséant
PERSON,Mlle de Beauseant
PERSON,Mme de Troisville
PERSON,Madame Troisville
PERSON,Baron de Canalis
PERSON,Charles Claparon
PERSON,Hugret de Serizy
PERSON,Hugret de Sérisy
PERSON,Hugret de Sérizy
PERSON,Madame de Serizy
PERSON,Madame de Sérisy
PERSON,Madame de Sérizy
PERSON,Madame de Serisy
PERSON,Docteur Desplein
PERSON,Duc de Grandlieu
PERSON,Etienne Lousteau
PERSON,Felix Gaudissart
PERSON,Ferdinand Tillet
PERSON,Monsieur Vautrin
PERSON,Mlle Lady Dudley
PERSON,Mme. Lady Dudley
PERSON,Mme Leon de Lora
PERSON,Madame Mistigris
PERSON,Mlle. M. de Lora
PERSON,Monsieur de Lora
PERSON,Monsieur Chardon
PERSON,Sophie Grignault
PERSON,Madame Beauseant
PERSON,Madame Beauséant
PERSON,Virginie Blondet
PERSON,Mlle. Montcornet
PERSON,Monsieur Blondet
PERSON,Charles Clochard
PERSON,Louise de Soulas
PERSON,Mlle de Nucingen
PERSON,Eugene Delacroix
PERSON,Frederic Brunner
PERSON,Henri of Navarre
PERSON,Henri de Navarre
PERSON,Madame du Tillet
PERSON,nee de Granville
PERSON,Mme. de Nucingen
PERSON,Mlle du Châtelet
PERSON,Mme. du Châtelet
PERSON,Mlle de Chatelet
PERSON,Mme. de Chatelet
PERSON,Mlle de Bargeton
PERSON,Mme. de Bargeton
PERSON,Mme Negrepelesse
PERSON,Mme Nègrepelisse
PERSON,Mlle du Chatelet
PERSON,Mme. du Chatelet
PERSON,Mme Ronquerolles
PERSON,Madame Grignault
PERSON,Mlle du Ronceret
PERSON,Mme. du Ronceret
PERSON,Mlle des Touches
